Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
The First Cut Is the Deepest,2004,3FeYjbIVqvAhuTcwsE6K3v,Rod Stewart,271200,61,0.546,0.0244,0.764
You Don't Know My Name,2004,6LGwYMXXgURfaequXipzHx,Alicia Keys,366733,66,0.264,0.187,0.249
My Place,2004,7dZZosZeF6KE3dS2trkUal,Denver Paige,187500,57,0.572,0.221,0.351
Overnight Celebrity,2004,2tOZtdbkAMQASWokLvSlzj,Twista,233360,69,0.828,0.179,0.777
Hotel,2004,40riOy7x9W7GXjyGp4pjAv,Eagles,391376,84,0.579,0.027,0.609
Numb,2004,2nLtzopw4rPReszdYBJU6h,Linkin Park,185586,86,0.496,0.0381,0.243
Diary,2004,0faXHILILebCGnJBPU6KJJ,Breaking Benjamin,200546,75,0.392,0.0644,0.269
She Will Be Loved,2004,4llK75pXNWZz6KAho2Gp16,Maroon 5,259453,81,0.651,0.0281,0.465
White Flag,2004,3adnLFXKO5rC1lhUNSeg3N,Dido,240600,59,0.509,0.0379,0.284
Heaven,2004,1HXy5I3HTWq8OvxCn0z7G7,Kane Brown,179506,74,0.677,0.0306,0.521
It's My Life,2004,0v1XpBHnsbkCn7iJ9Ucr1l,Bon Jovi,224493,81,0.551,0.0466,0.544
Pieces of Me,2004,7yXibbAYi4to5oQTeO738f,Ashlee Simpson,217440,57,0.532,0.057,0.759
Leave (Get Out),2004,3DOxMCaNBNvnjSzpHUSjE3,JoJo,242840,68,0.697,0.201,0.457
