Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
Todo de Ti,2021,4fSIb4hdOQ151TILNsSEaF,Rauw Alejandro,199604,78,0.78,0.0506,0.342
Heat Waves,2022,3USxtqRwSYz57Ewm6wWRMp,Glass Animals,238805,90,0.761,0.0944,0.531
As It Was,2022,4Dvkj6JhhA12EX05fT7y2e,Harry Styles,167303,93,0.52,0.0557,0.662
Stay,2022,789CxjEOtO76BVD1A9yJQH,Rihanna,240706,73,0.621,0.0283,0.125
Easy on Me,2022,0gplL1WMoJ6iYaPgMCL0gX,Adele,224694,83,0.604,0.0282,0.13
Shivers,2022,50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,207853,86,0.788,0.0856,0.822
First Class,2022,0wHFktze2PHC5jDt3B17DC,Jack Harlow,173947,80,0.902,0.109,0.332
Big Energy,2022,6Zu3aw7FfjAF9WA0fA81Oq,Latto,173182,71,0.935,0.114,0.813
Ghost,2022,6I3mqTwhRpn34SLVafSH7G,Justin Bieber,153190,86,0.601,0.0478,0.441
Super Gremlin,2022,4A8cWXxKfIL3lAyUDzXbCF,Kodak Black,200547,73,0.825,0.144,0.106
Cold Heart (Pnau remix),2022,6zSpb8dQRaw0M1dK8PBwQz,Elton John,202735,85,0.796,0.0317,0.942
Wait for U,2022,59nOXPmaKlBfGMDeOVGrIK,Future,189893,85,0.463,0.34,0.339
About Damn Time,2022,1PckUlxKqWQs3RlWXVBLw3,Lizzo,191822,78,0.836,0.0656,0.722
Bad Habits,2022,3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,230746,84,0.807,0.0347,0.537
Thats What I Want,2022,0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,143901,82,0.737,0.22,0.546
Enemy,2022,3CIyK1V4JEJkg02E4EJnDl,Imagine Dragons,173381,82,0.728,0.266,0.555
Industry Baby,2022,27NovPIUIRrOZoCHxABJwK,Lil Nas X,212000,80,0.736,0.0615,0.894
ABCDEFU,2022,4fouWK6XVHhzl78KzQ1UjL,GAYLE,168601,81,0.695,0.0493,0.415
Need to Know,2022,3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,210560,81,0.664,0.0707,0.194
Wasted on You,2022,3cBsEDNhFI9E82vPj3kvi3,Morgan Wallen,178520,85,0.505,0.0318,0.252
Me Porto Bonito,2022,6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny,178567,89,0.911,0.0817,0.425
Woman,2022,6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,172626,86,0.824,0.0854,0.881
Tití Me Preguntó,2022,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,243716,86,0.65,0.253,0.187
Running Up That Hill (A Deal with God),2022,1PtQJZVZIdWIYdARpZRDFO,Kate Bush,298933,84,0.629,0.0546,0.194
We Don't Talk About Bruno,2022,52xJxFP6TqMuO4Yt0eOkMz,Carolina Gaitán - La Gaita,216120,76,0.577,0.0834,0.83
Late Night Talking,2022,1qEmFfgcLObUfQm0j1W2CK,Harry Styles,177954,85,0.714,0.0468,0.901
I Like You (A Happier Song),2022,0O6u0VJ46W86TxN9wgyqDj,Post Malone,192840,86,0.733,0.0751,0.472
You Proof,2022,5W4kiM2cUYBJXKRudNyxjW,Morgan Wallen,157477,84,0.732,0.0345,0.629
Bad Habit,2022,4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,232066,82,0.686,0.0355,0.7
Sunroof,2022,5YqEzk3C5c3UZ1D5fJUlXA,Nicky Youre,163025,85,0.768,0.0401,0.842
One Right Now,2022,00Blm7zeNqgYLPtW6zg8cj,Post Malone,193506,76,0.687,0.053,0.688
Good 4 U,2022,4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,178146,86,0.563,0.154,0.688
Numb Little Bug,2022,3o9kpgkIcffx0iSwxhuNI2,Em Beihold,169237,74,0.742,0.0769,0.638
Jimmy Cooks,2022,3F5CgOj3wFlRv51JsHbxhe,Drake,218364,89,0.529,0.175,0.366
Til You Can't,2022,4k3lPl8YTKuY8c1HelVnm3,Cody Johnson,224213,76,0.501,0.0436,0.46
Fancy Like,2022,58UKC45GPNTflCN6nwCUeF,Walker Hayes,161853,74,0.647,0.06,0.855
The Kind of Love We Make,2022,48UKTR66uUOT9LaUvooTNx,Luke Combs,224426,82,0.608,0.0277,0.464
I Ain't Worried,2022,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,148485,90,0.704,0.0475,0.825
Break My Soul,2022,5pyoxDZ1PX0KxBxiRVxA4U,Beyoncé,278281,77,0.693,0.0795,0.864
Something in the Orange,2022,3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,228013,89,0.369,0.04,0.148
Save Your Tears,2022,5QO79kh1waicV47BqGRL3g,The Weeknd,215626,88,0.68,0.0309,0.644
Smokin out the Window,2022,3xVZYkcuWalGudeKl861wb,Bruno Mars,197442,77,0.627,0.0437,0.848
